X,Y,Name,description
2.339409,48.8765783,RAP Epicerie Fine Italienne,
2.2884207,48.8953199,Au Bout Du Champ,
2.3289666,48.8342968,Au Bout Du Champ,
2.340285,48.8699312,papa sapiens,
2.3237801,48.8502785,La Grande Épicerie de Paris,
2.3636103,48.8665548,Umami Matcha Café,
2.3141885,48.8834711,Macis - Maison De Saveurs,
2.3974925,48.866447,Au Bout Du Champ,
2.3403531,48.8625728,Claus - La table du petit-déjeuner,
2.3672909,48.8595592,Maison Plisson,
-1.6089881,43.4223227,Yaoya,
-1.195766,43.3363745,La Ferme Agerria,
2.3492807,48.875758,Le Bel Ordinaire,
2.3397434,48.8765729,Terra Gourma,
2.2885429,48.8939172,Terra Gourma,
2.3881943,48.8746241,Fromagerie Beaufils,
2.3360435,48.867575,Epices Roellinger Paris,
2.3055702,48.8564772,Fromager Marie-Anne Cantin,
2.3175458,48.8578843,papa sapiens,
2.2954936,48.8787858,papa sapiens,
2.3055815,48.8576963,Lastre Sans Apostrophe,
2.3618865,48.8547591,Fromagerie Laurent Dubois Bastille,
2.3259566,48.8491966,Boucherie Le Bourdonnec,
2.347822,48.8676838,Epicerie-primeur-crèmerie Terroirs d'Avenir,
3.0581836,50.6442954,Nonādeli,
3.0493284,50.6267415,Marché Couvert de Wazemmes,
5.379091,43.2958049,Epicerie l'Ideal,
2.371246,48.8722826,Le Court Circuit (Magasin de Producteurs),
2.3516656,48.8909286,La Laiterie de Paris,
-2.0253603,48.6481821,La Maison du Beurre Bordier,
-2.0246162,48.6499887,Épices Roellinger,
-1.542445,43.422031,Agerrea,
127.0441159,37.5232858,SSG 푸드마켓 청담점 Shinsegae Food Market Cheongdam,
2.342127,48.8741,BEAU & FORT,
2.265481,48.8536942,Joly Traiteur Paris,
2.3017077,48.8478162,Charcuterie Joly,
2.33849,48.876927,La Cigogne,
2.316611,48.8347856,Chez Victor,
2.327144,48.846907,Maison Vérot,
2.3624824,48.8630316,Maison Vérot,
2.359137,48.8674246,Kilikio,
2.3489773,48.8503696,"Epicerie japonaise ""Kanae""",
2.3421617,48.8895808,Au Bout Du Champ,
6.1246913,45.9027784,Pierre Gay,
2.3585839,48.8568515,SoumSoum,
4.6288736,43.6760581,L'Épicerie du Cloître,
2.323326,48.8914785,"NOMIE, le goût des épices",
2.3140714,48.8832558,Boucherie Le Bourdonnec,
2.3767519,48.8674503,Epicerie-primeur-crèmerie Terroirs d'Avenir,
2.3843578,48.8514176,Epicerie-primeur-crèmerie-charcuterie Terroirs d'Avenir,
12.4786412,41.8790835,Salumeria Volpetti,
2.3860475,48.8687923,Creme,
2.4143615,48.8793784,Les Jumeaux,
2.3010287,48.8569275,Arnaud Nicolas restaurant-boutique,
2.341971,48.8899137,Charcuterie Arnaud NICOLAS,
2.3253462,48.8479257,La Boucherie Grégoire,
2.3249975,48.8849985,Au Bout Du Champ,
2.3395699,48.8775434,Au Bout Du Champ,
2.3713636,48.8821653,Au Bout Du Champ,
2.3394996,48.8781182,Maison Thielen Charcuterie - Traiteur,
2.3779092,48.889775,Epicerie MIAM,
2.3398906,48.8932909,Au Lait Cru Fromagerie,
-1.9828852,43.3237762,Mercado de la Bretxa,
-1.9800759,43.3090716,Don Serapio - Lukas Gourmet,
2.3406872,48.8767783,Humphris,
2.3516656,48.8909286,Humphris,
2.3343492,48.8943737,Le marché par Bonne Femme,
2.4432364,48.863785,Archi-Boucher,
2.4021845,48.8680233,Jeanine et Christiane,
2.3538392,48.8721462,TAKA & VERMO - Artisans Fromagers,
2.3537448,48.8485255,Ottanta,
-1.398476,43.3611846,Maison Mer,
-1.5510809,43.4859914,Sébastien Zozaya - Meilleur Ouvrier de France - Biarritz,
2.3394612,48.8781606,Berrie Martyrs,
2.3355589,48.8766772,Berrie Saint-Lazare,
2.3202369,48.8899008,Berrie Moines,
-3.6970244,40.4323227,Formaje,
2.3795163,48.8548442,Nanina,
2.372889,48.8583952,Ebisu Poissonnerie,
