X,Y,Name,description
0.524856,48.5810831,MAISON CERONNE,
6.837176,43.416758,Hôtel Les Roches Rouges - Côte d'Azur - Hôtel & Restaurants,
5.5295488,43.2117099,Hôtel Les Roches Blanches,
2.0118865,48.6020934,Le Barn,
-2.049076,48.6344576,Castelbrac,
0.7901051,48.4627866,D'une Ile,
6.5947163,43.1880708,Hôtel Lily of the Valley,
5.3557669,43.2901875,Hotel Les Bords De Mer,
0.95309,46.6025732,Saint Victor La Grand' Maison,
17.3963591,40.8752544,Borgo Egnazia,
9.4610512,42.7700945,Couvent De Pozzo,
151.273639,-33.891238,Hotel Ravesis,
-7.9974911,31.6215062,La Mamounia,
-8.0202492,31.5717489,Selman Marrakech,
-7.9539791,31.6067483,"Mandarin Oriental, Marrakech",
-8.017073,31.619377,Four Seasons Resort Marrakech,
-7.9983482,31.6251659,Royal Mansour Marrakech,
-7.992961,31.627221,El Fenn,
-7.8716327,31.6636986,Palais Namaskar,
-7.81225,41.144198,Six Senses Douro Valley,
12.484302,41.9057524,Hotel de la Ville,
-8.6991702,38.2812593,Sublime Comporta,
12.561291,55.680293,Manon Les Suites,
-0.1238889,51.5108333,Henrietta Hotel,
-87.4617203,20.1399056,La Valise Tulum,
-87.443902,20.1852328,Habitas Tulum,
-2.9481683,48.5429992,Into the Prairie,
-8.2075472,31.3926332,INARA CAMP,
1.3729245,39.0022407,La Granja Farmhouse,
40.9159851,-2.2948223,Peponi Hotel,
-5.5429405,31.4998675,Palais Rhoul & Spa Dakhla,
-1.4324082,43.6747854,Hôtel Les Hortensias du Lac,
9.1810124,46.6223232,Thermes de Vals,
6.9927389,45.4345804,Le Refuge de Solaise,
3.9472439,49.1942283,Château de Sacy,
4.826781,45.753674,Hôtel de l'Abbaye,
-1.4213899,51.9403136,Soho Farmhouse,
-2.0652902,51.6352316,The Rectory Hotel,
-7.9953222,31.6331307,L'Hôtel Marrakech,
-8.0289355,31.5717989,Beldi Country Club,
11.7580629,47.686408,Spa & Resort Bachmair Weissach,
1.754556,50.471102,La Grenouillère,
-99.086773,18.985162,Amomoxtli,
-8.0688654,31.4217225,Berber Lodge,
-7.9892187,37.8305864,Herdade da Malhadinha Nova Country House & Spa,
98.2978607,8.1561975,Renaissance Phuket Resort & Spa,
-9.7052529,31.4496281,Le Jardin des Douars,
-7.9340454,31.6083937,Amanjena,
-72.337654,21.829071,Amanyara,
-74.0002729,40.7191258,11 Howard,
-87.0201301,20.6879277,Rosewood Mayakoba,
28.1552568,36.2421996,Casa Cook Rhodes,
14.6130717,40.6507692,Palazzo Avino,
1.8102364,48.7784442,La Minotte,
-8.7512809,38.309375,Quinta da Comporta - Wellness Boutique Resort,
-7.9867657,38.7076161,Villa Extramuros,
-7.5897169,37.1610145,Pensão Agrícola,
-7.9244822,37.1563026,Monte da Palmeira,
-7.785476,37.041968,Casa Modesta,
-9.1358329,38.7101086,Baixa House,
27.4442433,37.0976786,Amanruya,
73.4050224,1.8171277,Six Senses Laamu,
4.099813,39.925415,Fontenille Menorca,
6.6575106,43.2615914,Hôtel Lou Pinet,
98.6254236,8.1197283,Six Senses Yao Noi,
5.30105,43.762622,Domaine de Fontenille,
-9.6856125,31.5364845,Villa Anouk,
-1.349132,43.67873,LES ECHASSES ECO-LODGE,
7.1221199,43.6986809,La Colombe d'Or Hôtel et Restaurant,
7.1216027,43.5483462,Hotel du Cap-Eden-Roc,
-1.3487572,43.1753186,Hôtel Restaurant Arcé,
-1.8743996,48.6449753,La Ferme du Vent,
2.3193529,48.8702399,Les Jardins du Faubourg,
6.384393,43.006872,Le Manoir,
8.9486366,41.5163286,Domaine de Murtoli,
9.4725838,42.8743161,Hôtel Misincu - 5 étoiles,
9.3099556,41.5947226,Hôtel Casadelmar,
-0.5571018,44.7309951,Les Sources De Caudalie,
0.6444613,45.7763024,Domaine des Etangs,
1.066414,47.332212,Auberge du Bon Laboureur,
5.198731,43.9116,La Bastide de Gordes,
6.6475133,43.1923455,"La Réserve Ramatuelle - Hotel, Spa and Villas",
6.66088,43.219978,EPI Baie de Pampelonne,
-9.1470614,38.7099045,Verride Palácio de Santa Catarina,
-8.1481028,38.7305856,Casa no Tempo,
-7.0784585,41.0702717,Casa do Rio,
-0.3803455,43.6966662,Relais & Châteaux Les Prés d'Eugénie,
2.3566238,48.8693181,Hôtel Providence Paris,
0.2050804,49.7064533,Les Tilleuls Étretat,
5.8315133,45.1417591,Maison Aribert,
-0.0828845,51.5255754,"The Hoxton, Shoreditch",
-0.1220019,51.5172291,"The Hoxton, Holborn",
2.3466316,48.8701794,"The Hoxton, Paris",
