X,Y,Name,description,Ville
2.362612,48.8638048,PNY Marais,Burger,Paris
2.370636,48.861567,Deux fois plus de piment,Raviolis et nouilles asiatiques,Paris
2.340529,48.89445,Le Ruisseau,Burger,
2.3521941,48.8623127,Cinq Fois Plus,Raviolis et nouilles asiatiques,
2.3523733,48.8628277,Trois Fois plus de Piment,Raviolis et nouilles asiatiques,
2.3651585,48.8777917,STREET Bangkok Local Food,Street food thailandaise,
2.3523557,48.8694325,Hero,Street food coréenne,
2.378005,48.8620866,Les Niçois,,
2.3782262,48.861146,La Guinguette D'Angèle - Restaurant & Take Away,,
2.341499,48.8643197,La Guinguette d’Angèle - Le Take Away,,
2.3624381,48.8651821,Season Take Away,,
2.330444,48.8551097,CloverShop,,
2.3198813,48.8854377,Restaurant Bodrum,Kebab,
2.3535652,48.87124,Sette Pizza - Faubourg St-Denis,,
2.3300687,48.912971,Yaya,Restaurant grec,
2.3607865,48.8663884,B. Bell broche,Kebab,
2.3829094,48.8617983,Yemma,Street food marocaine,
2.3505033,48.8657477,Yemma,Street food marocaine,
2.3585082,48.8709495,Le Réfectoire,,
2.3492572,48.8754999,Le Tricycle,,
2.343935,48.868897,Restaurant Kuai,,
2.3534227,48.8582675,Homer - all about lobster,Lobster rolls,
2.3650928,48.8613189,Pontochoux,Curry japonais,
2.3500553,48.8770446,"ENKOR, Cambodian market food",,
2.3459585,48.8690915,Salatim,Street food israelienne. Schnitzel sandwich le mercredi et dimanche,
2.3478035,48.8734023,Café Soucoupe,,
2.376084,48.854349,Le Petit Keller,,
2.363704,48.86623,Le Pain Vendôme,,
2.3359879,48.8535996,CUL DE COCHON,Sandwich et épicerie,
2.3446979,48.8645754,Ippudo,Ramen,
2.3376908,48.8531777,Ippudo,Ramen,
2.338068,48.85464,Kodawari Ramen,Ramen,
2.3348348,48.8671431,Hakata Choten OPERA,Ramen,
2.3489608,48.8629014,Hakata Choten Les Halles,Ramen,
2.380291,48.850597,21G Dumpling,,
2.3505208,48.8718967,MULKO,,
2.3757282,48.8648855,Bretons Crêperie,,
2.3634326,48.869021,Le Petit Cambodge - Beaurepaire,,
2.336845,48.868292,Chez Miki,,
2.3442057,48.8635584,Café lai'Tcha,,
2.3485325,48.8682785,Echo,,
2.3485348,48.8738363,Ozlem,,
2.333787,48.864718,Sanukiya,,
2.3356451,48.8935876,B.O.U.L.O.M,,
2.3815096,48.8439199,Ground Control,,
2.3318356,48.8776569,Hanoi Corner,,
-1.4755922,43.491,JANINE,,
-1.5589087,43.4816198,Milwaukee Café,,
-1.5617698,43.47787,Milwaukee Cafe,,
12.5550536,55.6698114,Sanchez,,
12.5968388,55.677951,Bridge Street Kitchen,,
3.0573379,50.6344931,La clairière,,
2.3710905,48.854194,Street Bangkok Canteen & Bar,,
2.3373551,48.8803279,Chiquitin,,
2.4945272,48.6310286,Atelier Pizza,,
2.3296211,48.832473,Restaurant Kwon,,
2.3589814,48.8571597,Miznon,,
2.366401,48.8691925,Miznon,,
2.382265,48.865152,GreenHouse,,
2.3562193,48.8743774,Pont Neuf - La Frite Française,,
2.3481264,48.8758798,Nouilles Ceintures,,
2.361409,48.8913827,New Thai San,,
2.3435979,48.8696583,Mr ZHAO,,
2.2956833,48.8802955,Motorino,,
2.3784981,48.8570997,Chez Aline,,
2.3325777,48.8659891,EchizenSOBA TOGO,,
2.3651245,48.8722937,Siseng,,
2.3722721,48.8323803,La Felicità,,
-1.628866,43.413305,Xibao,,
-1.639354,43.4076231,La Guinguette,,
2.3166509,48.8741471,lamée sandwicherie,,
126.9857377,37.5625245,Myeongdong Kyoja (Main Restaurant),,
126.9211925,37.5545281,TARTINE [COFFEE BAR],,
126.929946,37.5541168,I AM A BURGER,,
-0.19785,51.508338,Eggbreak,,
127.0240567,37.5190355,Brooklyn the Burger Joint,,
127.0359495,37.5255822,The Kitchen Salvatore Cuomo,,
126.9267339,37.5563576,"Butanchu, Hongdae",,
126.9351071,37.5566595,Butanchu Shinchon branch,,
126.999946,37.5373106,Root,,
126.98821,37.5368854,LITTLE NECK,,
127.0026826,37.5378546,Underyard Hannam,,
127.0020578,37.5386674,Vera Pizza Napoli,,
2.3482716,48.8755182,BARAK,,
127.0356618,37.5256517,Hyundai Card Cooking Library,,
127.0018261,37.5377644,PIPIT BURGER,,
126.994229,37.5330759,Plant Café & Kitchen,,
2.3464058,48.8816545,Papilles Coffehouse & Restaurant,,
2.2936582,48.8481207,Seoul Mama,,
2.3331631,48.8663375,SANJO,,
126.9921678,37.5341198,Rye Post,,
2.3394425,48.8833975,BULOT BULOT Oyster bar,,
2.3374,48.866966,Ryukishin,,
126.9226778,37.5471665,Ramen Truck,,
126.9879671,37.5345154,Rocka Doodle,,
126.924912,37.561856,tampa sandwichbar,,
127.000307,37.496884,Tampa Sandwich Bar,,
127.0010586,37.5378458,라운드어바웃,,
2.3481848,48.8795715,Délice de Condorcet,,
2.3764513,48.8667905,Le Favori,,
126.9731703,37.5451172,Goobok Mandu,,
126.9334317,37.5603401,Gamamarui Ramen,,
127.0003797,37.535842,Downtowner,,
126.9991304,37.5366108,DOTZ,,
126.9879671,37.5345154,Bao Bar,,
2.3626646,48.8721303,Shouk,,
126.9251381,37.5536541,지로우라멘,,
127.0600269,37.5061296,Butai,,
127.032053,37.5224959,Umaten,,
127.0210286,37.5197151,정돈 프리미엄,,
29.0243443,40.9894377,Ciya Kebap,,
