numero,Lat,Long,Nom,Ville,Pays,Type,star,isReservable,horaires,adresse,photo
0,10.2104009,56.1587522,La Cabra Coffee Roasters,8000 Aarhus,Danemark,coffee_shop,,,,Graven 20,https://media-cdn.tripadvisor.com/media/photo-p/0f/2f/c5/ac/la-cabra-coffee.jpg
1,127.0409932,37.5267628,Tea Collective,Seoul,Korea,coffee_shop,,,,16  Dosan-daero 59-gil  Gangnam-gu ,https://cdn.herenow.city/assets/uploads/sites/9/2018/01/02180912/re_41tea05-765x510.jpg
2,,,Boot Café,75003,France,coffee_shop,,,,19 Rue du Pont aux Choux,https://24hkto1dz1v3ddyf93n0ye45-wpengine.netdna-ssl.com/wp-content/uploads/2018/04/Kinfolk_ParisCityGuide_BootCafe_03-1024x692.jpg
3,2.3481741,48.8647839,Kodama,75002,France,coffee_shop,,,,30 Rue Tiquetonne,https://i.pinimg.com/736x/35/76/d4/3576d423693fe923932c857f90ca0501.jpg
4,2.3373715,48.8655242,Cafe Kitsune,75001,France,coffee_shop,,,,51 Gal de Montpensier,https://www.maisonkitsune.com/mk/wp-content/uploads/2018/05/cafe-kitsune-1.jpg
5,2.3530365,48.8646364,Partisan Café Artisanal,75003,France,coffee_shop,,,,36 Rue de Turbigo,https://cdn3.gustave-et-rosalie.com/media/cache/share_image/upload/article/65a05cdc68-coffee-shop-paris-partisan.jpg
6,2.3466129,48.8806912,roche coffee shop,75009,France,coffee_shop,,,,58 Rue Marguerite de Rochechouart,https://images.squarespace-cdn.com/content/v1/5736656b86db434ac61fcc34/1552179916138-DVPOS1FH94JC01BIJIAW/image-asset.octet-stream?format=500w
7,-118.287282,34.1065541,Maru Coffee,Los Angeles,US,coffee_shop,,,,1936 Hillhurst Ave,https://cdn.shopify.com/s/files/1/0028/1067/5315/files/190805_partner_tumblers_marucoffee_5.jpg
8,-118.2303882,34.0309539,Maru Coffee,Los Angeles,US,coffee_shop,,,,1019 S Santa Fe Ave,https://cdn.vox-cdn.com/thumbor/iyVmipsHCI8h1rCaH5ZxM6NxyLc=/0x0:1080x1081/1200x800/filters:focal(454x455:626x627)/cdn.vox-cdn.com/uploads/chorus_image/image/58425591/maru-coffee-los-feliz.0.jpg
9,2.3553145,48.8903077,Lomi,75018,France,coffee_shop,oui,,,3 ter Rue Marcadet,https://mysweetparisianlife.files.wordpress.com/2014/06/dscn2544.jpg
10,12.5422628,55.693661,The Coffee Collective Jægersborggade,Copenhague,Danemark,coffee_shop,,,,Jægersborggade 57  2200 København,https://files.guidedanmark.org/files/382/177762_The_Coffee_Collective_Kristen_Bernikows_Gade_ChrisTonnesen_1.jpg?width=1024
11,12.5335216,55.6870991,The Coffee Collective Frederiksberg,Copenhague,Danemark,coffee_shop,,,,Godthåbsvej 34B  2000 Frederiksberg,https://www.thestyleoffice.today/wp-content/uploads/2015/06/IMG_0479-e1434437545593.jpg
12,12.5824585,55.6800838,The Coffee Collective Bernikow,Copenhague,Danemark,coffee_shop,,,,Kristen Bernikows Gade 2  1105 København,https://sprudge.com/wp-content/uploads/2017/08/TCC21_newshop_outdoor_patio2_jones-1200x800.jpg
13,12.581826,55.677421,CUB Coffee Bar Boldhusgade,Copenhague,Danemark,coffee_shop,,,,Boldhusgade 6  1062 København,https://media-cdn.tripadvisor.com/media/photo-s/0f/a3/06/f8/inside-the-coffee-shop.jpg
14,2.376747,48.8526863,Passager,75011,France,coffee_shop/brunch,,,,107 Av. Ledru Rollin,https://media-cdn.tripadvisor.com/media/photo-s/12/d2/ed/92/photo0jpg.jpg
