id,lat,long,nom,ville,type,adresse
3,2.3481741,48.8647839,Kodama,75002,coffee/the/coeur,30 Rue Tiquetonne
4,2.3373715,48.8655242,Cafe Kitsune,75001,coffee,51 Gal de Montpensier
5,2.3530365,48.8646364,Partisan Café Artisanal,75003,coffee/coeur,36 Rue de Turbigo
9,2.3553145,48.8903077,Lomi,75018,coffee/coeur,3 ter Rue Marcadet
14,2.376747,48.8526863,Passager,75011,coffee/brunch,107 Av. Ledru Rollin
16,2.3557431,48.8544402,La Caféothèque de Paris,75004,coffee,52 Rue de l'Hôtel de ville
17,2.3690393,48.8562232,BACK IN BLACK by KB Coffee Roasters,75011,coffee/brunch,25 Rue Amelot
18,2.3817047,48.8751346,Belleville Brûlerie - Paris,75019,coffee,14b Rue Lally-Tollendal
19,2.3742482,48.8832539,Belleville Brûlerie - Paris - Le Quartier Général,75019,coffee,14b Rue Lally-Tollendal
20,2.3363585,48.8661837,Télescope,75001,coffee,5 Rue Villédo
26,2.3282134,48.8864335,La Main Noire,75018,coffee,12 Rue Cavallotti
28,2.3402927,48.8908722,Two Doors Coffee-Shop,75018,coffee,27 Rue Francœur
29,2.317856,48.887082,Dose Paris • Batignolles,75017,coffee/brunch,82 Place du Dr Félix Lobligeois
30,2.3233068,48.8917471,Espeletia Café,75017,coffee,52 Rue Davy
38,2.3249371,48.8543713,Certified café,75007,coffee,83P Rue du Bac
40,2.3481962,48.8470061,TRAM café librairie,75005,coffee/coeur,47 Rue de la Montagne Ste Geneviève
41,2.3446142,48.88691,The Hardware Société Paris,75018,coffee/brunch,10 Rue Lamarck
43,2.3822625,48.8735287,Combat,75019,bar,63 Rue de Belleville
44,2.3658365,48.8640676,Bisou.,75003,bar,15 Bd du Temple
45,2.3759872,48.854815,Fréquence,75011,bar,20 Rue Keller
46,2.3734617,48.8627195,Dirty Lemon,75011,bar,24 Rue de la Folie Méricourt
47,2.35072,48.8752266,Divine,75010,bar,61 Rue d'Hauteville
48,2.339409,48.8765783,RAP Epicerie Fine Italienne,75009,epicerie,4 Rue Flechier
49,,,Au Bout Du Champ - LEVALLOIS-PERRET,Levallois,primeur,4 rue Camille Pelletan
50,,,Au Bout Du Champ - PARIS 9,75009,primeur,16  rue des Martyrs
51,,,Au Bout Du Champ - PARIS 11,75011,primeur,44  rue Oberkampf
52,,,Au Bout Du Champ - PARIS 14,75014,primeur,28  rue Daguerre
53,,,Au Bout Du Champ - PARIS 14,75014,primeur,98  rue Raymond Losserand
54,,,Au Bout Du Champ - PARIS 15,75015,primeur,86  rue Cambronne
55,,,Au Bout Du Champ - PARIS 17,75017,primeur,20  rue des Dames
56,,,Au Bout Du Champ - PARIS 18,75018,primeur,38  rue Lepic
58,,,Au Bout Du Champ - PARIS 19,75019,primeur,9  avenue Secrétan
59,,,Au Bout Du Champ - PARIS 20,75020,primeur,140  rue de Belleville
60,,,Au Bout Du Champ - PARIS 20,75020,primeur,220  rue des Pyrénées
61,2.3237801,48.8502785,La Grande Épicerie de Paris 7,75007,epicerie/boucherie/poissonerie/primeur/vins,38 Rue de Sèvres
62,,,La Grande Épicerie de Paris 16,75016,epicerie/boucherie/poissonerie/primeur/vins,80 Rue de Passy
63,,,Boucherie Terroir d'Avenir - rue du Nil,75002,boucherie,6 rue du Nil
64,,,Boulangerie Terroir d'Avenir - rue du Nil,75002,boulangerie/patisserie,3 rue du Nil
65,,,Crèmerie Terroir d'Avenir - rue du Nil,75002,cremerie,8 rue du Nil
66,,,ÉPICERIE – PRIMEUR Terroir d'Avenir - rue du Nil,75002,epicerie/primeur/coeur,7 rue du Nil
67,,,Poissonerie Terroir d'Avenir - rue du Nil,75002,poissonerie,8 rue du Nil
68,,,Boucherie Terroir d'Avenir - rue Paul Bert,75011,boucherie,2 rue Paul Bert
69,,,Boulangerie Terroir d'Avenir - rue Paul Bert,75011,boulangerie/patisserie,8 rue Paul Bert
70,,,ÉPICERIE – PRIMEUR – CRÈMERIE Terroir d'Avenir - rue Paul Bert,75011,epicerie/primeur/cremerie,5 rue Paul Bert
71,,,Boucherie Terroir d'Avenir - RUE JEAN-PIERRE TIMBAUD,75011,boucherie,84 rue Jean-Pierre Timbaud
72,,,ÉPICERIE – PRIMEUR – CRÈMERIE Terroir d'Avenir -  RUE JEAN-PIERRE TIMBAUD,75011,epicerie/primeur/cremerie,85 rue Jean-Pierre Timbaud
73,,,ÉPICERIE – PRIMEUR – CRÈMERIE Terroir d'Avenir -  MONTREUIL,93100,epicerie/primeur/cremerie,9 rue du Capitaine Dreyfus
74,,,Umami Matcha Café To Go,75017,coffee/epicerie/brunch/the,5 Rue Pierre Demours
75,2.3636103,48.8665548,Umami Matcha Café,75003,coffee/epicerie/brunch/the/coeur,22 Rue Béranger
77,,,Maison Plisson - BEAUMARCHAIS,75003,epicerie/primeur/cremerie/boucherie/vins/boulangerie,93 Boulevard Beaumarchais
79,,,Terra Gourma,Levallois Perret,epicerie/vins,79 rue Voltaire
80,,,Fromagerie Beaufils - Paris 14,75014,cremerie,100 rue Raymond Losserand
81,,,Fromagerie Beaufils - Paris 20,75020,cremerie,118 rue de Belleville
82,,,Fromagerie Beaufils - Paris 14,75009,cremerie,20 rue Cadet
83,2.3360435,48.867575,Epices Roellinger Paris,75002,epicerie,51 bis Rue Sainte-Anne
84,2.3055702,48.8564772,Fromager Marie-Anne Cantin,75007,cremerie,12 Rue du Champ de Mars
85,2.3055815,48.8576963,Lastre Sans Apostrophe,75007,boucherie,188 Rue de Grenelle
86,2.3618865,48.8547591,Fromagerie Laurent Dubois Bastille,75004,cremerie,97-99 Rue Saint-Antoine
87,,,Boucherie Le Bourdonnec - Paris 6,75006,boucherie,43 Rue du Cherche-Midi
88,,,Boucherie Le Bourdonnec - Paris 17,75017,boucherie,51 Rue de Lévis
89,,,Boucherie Le Bourdonnec - Paris 7,75007,boucherie,208 bis Rue de Grenelle
91,5.379091,43.2958049,Epicerie l'Ideal,13001,pouce/epicerie/primeur/neobistrot,11 Rue d'Aubagne
92,2.3516656,48.8909286,La Laiterie de Paris,75018,cremerie/coeur,74 Rue des Poissonniers
94,2.342127,48.8741,MONBLEU Faubourg Montmartre,75009,cremerie,37 Rue du Faubourg Montmartre
95,2.316611,48.8347856,Chez Victor,75014,pouce/epicerie/primeur,73 rue Pernety
96,,,Maison Vérot - Paris 6,75006,boucherie,3 rue Notre-Dame des Champs
97,,,Maison Vérot - Paris 3,75003,boucherie,38 rue de Bretagne
98,,,Maison Vérot - Paris 8 (Galeries Lafayette),75008,boucherie,60 avenue des Champs-Élysées
99,,,Maison Vérot - Paris 9 (Galeries Lafayette),75009,boucherie,40 boulevard Haussmann
100,2.359137,48.8674246,Kilikio - Traiteur Grec,75018,epicerie,44 Rue des Abbesses
101,,,Epicerie japonaise Kanae - Paris 5,75005,epicerie,29 Pl. Maubert
102,,,Epicerie japonaise Kanae - Paris 15,75015,epicerie,118 Rue Lecourbe
103,6.1246913,45.9027784,Pierre Gay - Annecy,Annecy,cremerie,47 Rue Carnot
104,,,SoumSoum - Paris 8,75008,orient,59 Rue de Miromesnil
105,,,SoumSoum - Paris 11,75011,orient,144 Bd Voltaire
108,2.3860475,48.8687923,Creme,75020,cremerie/vins,6 Rue Julien Lacroix
109,2.3010287,48.8569275,Arnaud Nicolas restaurant-boutique,75007,boucherie/brasserie,46 Av. de la Bourdonnais
110,2.341971,48.8899137,Charcuterie Arnaud NICOLAS,75018,boucherie,125 Rue Caulaincourt
111,2.3394996,48.8781182,Maison Thielen Charcuterie - Traiteur,75009,boucherie,21 Rue des Martyrs
112,2.3779092,48.889775,Epicerie MIAM,75019,epicerie/boucherie/cremerie/primeur,168 Rue de Crimée
113,2.3398906,48.8932909,Au Lait Cru Fromagerie,75018,cremerie,114 Rue Ordener
114,,,Humphris - Paris 9,75009,epicerie/primeur/cremerie/boucherie/vins/boulangerie,2 Rue Milton
115,,,Humphris - Paris 18,75018,epicerie/primeur/cremerie/boucherie/vins/boulangerie,74 Rue des Poissonniers
116,2.3343492,48.8943737,Le marché par Bonne Femme,75018,pouce,5 Rue du Marché Ordener
117,2.4432364,48.863785,Archi-Boucher,93100,boucherie,22 Rue de l'Église
